code,description,body_system
I6302,Cerebral infarction due to thrombosis of basilar artery,Circulatory (heart & vessels)
I743,Embolism and thrombosis of arteries of the lower extremities,Circulatory (heart & vessels)
E54,Ascorbic acid deficiency,Endocrine & metabolic
F131,"Sedative, hypnotic or anxiolytic-related abuse",Mental & behavioural
C04,Malignant neoplasm of floor of mouth,Neoplasms (cancer)
F25,Schizoaffective disorders,Mental & behavioural
J954,Chemical pneumonitis due to anesthesia,Respiratory
M8933,"Hypertrophy of bone, ulna and radius",Musculoskeletal
F1124,Opioid dependence with opioid-induced mood disorder,Mental & behavioural
M0632,"Rheumatoid nodule, elbow",Musculoskeletal
E832,Disorders of zinc metabolism,Endocrine & metabolic
F015,Vascular dementia,Mental & behavioural
I02,Rheumatic chorea,Circulatory (heart & vessels)
C25,Malignant neoplasm of pancreas,Neoplasms (cancer)
J051,Acute epiglottitis,Respiratory
I6344,Cerebral infarction due to embolism of cerebellar artery,Circulatory (heart & vessels)
J353,Hypertrophy of tonsils with hypertrophy of adenoids,Respiratory
E0965,Drug or chemical induced diabetes mellitus with hyperglycemia,Endocrine & metabolic
I05,Rheumatic mitral valve diseases,Circulatory (heart & vessels)
M2455,"Contracture, hip",Musculoskeletal
E53,Deficiency of other B group vitamins,Endocrine & metabolic
J61,Pneumoconiosis due to asbestos and other mineral fibers,Respiratory
F80,Specific developmental disorders of speech and language,Mental & behavioural
M84334,"Stress fracture, left radius",Musculoskeletal
J382,Nodules of vocal cords,Respiratory
C65,Malignant neoplasm of renal pelvis,Neoplasms (cancer)
I6311,Cerebral infarction due to embolism of vertebral artery,Circulatory (heart & vessels)
C690,Malignant neoplasm of conjunctiva,Neoplasms (cancer)
C494,Malignant neoplasm of connective and soft tissue of abdomen,Neoplasms (cancer)
J961,Chronic respiratory failure,Respiratory
M84412,"Pathological fracture, left shoulder",Musculoskeletal
J13,Pneumonia due to Streptococcus pneumoniae,Respiratory
M6008,"Infective myositis, other site",Musculoskeletal
C4A2,Merkel cell carcinoma of ear and external auricular canal,Neoplasms (cancer)
J21,Acute bronchiolitis,Respiratory
F1112,Opioid abuse with intoxication,Mental & behavioural
E15,Nondiabetic hypoglycemic coma,Endocrine & metabolic
F122,Cannabis dependence,Mental & behavioural
C780,Secondary malignant neoplasm of lung,Neoplasms (cancer)
I210,ST elevation (STEMI) myocardial infarction of anterior wall,Circulatory (heart & vessels)
M6502,"Abscess of tendon sheath, upper arm",Musculoskeletal
C931,Chronic myelomonocytic leukemia,Neoplasms (cancer)
J1529,Pneumonia due to other staphylococcus,Respiratory
M620,Separation of muscle (nontraumatic),Musculoskeletal
F1027,Alcohol dependence with alcohol-induced persisting dementia,Mental & behavioural
F1814,Inhalant abuse with inhalant-induced mood disorder,Mental & behavioural
C343,"Malignant neoplasm of lower lobe, bronchus or lung",Neoplasms (cancer)
E662,Morbid (severe) obesity with alveolar hypoventilation,Endocrine & metabolic
F1323,"Sedative, hypnotic or anxiolytic dependence with withdrawal",Mental & behavioural
J350,Chronic tonsillitis and adenoiditis,Respiratory
M706,Trochanteric bursitis,Musculoskeletal
M1221,"Villonodular synovitis (pigmented), shoulder",Musculoskeletal
M6104,"Myositis ossificans traumatica, hand",Musculoskeletal
J00,Acute nasopharyngitis [common cold],Respiratory
I456,Pre-excitation syndrome,Circulatory (heart & vessels)
J152,Pneumonia due to staphylococcus,Respiratory
J9581,Postprocedural pneumothorax and air leak,Respiratory
I8701,Postthrombotic syndrome with ulcer,Circulatory (heart & vessels)
E881,"Lipodystrophy, not elsewhere classified",Endocrine & metabolic
J85,Abscess of lung and mediastinum,Respiratory
I35,Nonrheumatic aortic valve disorders,Circulatory (heart & vessels)
F500,Anorexia nervosa,Mental & behavioural
F1423,Cocaine dependence with withdrawal,Mental & behavioural
E7132,Disorders of ketone metabolism,Endocrine & metabolic
C691,Malignant neoplasm of cornea,Neoplasms (cancer)
F1128,Opioid dependence with other opioid-induced disorder,Mental & behavioural
M1A071,"Idiopathic chronic gout, right ankle and foot",Musculoskeletal
E705,Disorders of tryptophan metabolism,Endocrine & metabolic
J351,Hypertrophy of tonsils,Respiratory
J69,Pneumonitis due to solids and liquids,Respiratory
I8023,Phlebitis and thrombophlebitis of tibial vein,Circulatory (heart & vessels)
E2831,Premature menopause,Endocrine & metabolic
F34,Persistent mood [affective] disorders,Mental & behavioural
J9584,Transfusion-related acute lung injury (TRALI),Respiratory
J32,Chronic sinusitis,Respiratory
C07,Malignant neoplasm of parotid gland,Neoplasms (cancer)
M906,Osteitis deformans in neoplastic diseases,Musculoskeletal
I8252,Chronic embolism and thrombosis of iliac vein,Circulatory (heart & vessels)
F1612,Hallucinogen abuse with intoxication,Mental & behavioural
C4411,"Basal cell carcinoma of skin of eyelid, including canthus",Neoplasms (cancer)
E86,Volume depletion,Endocrine & metabolic
C631,Malignant neoplasm of spermatic cord,Neoplasms (cancer)
C5032,"Malignant neoplasm of lower-inner quadrant of breast, male",Neoplasms (cancer)
M84575,"Pathological fracture in neoplastic disease, left foot",Musculoskeletal
F985,Adult onset fluency disorder,Mental & behavioural
I7501,Atheroembolism of upper extremity,Circulatory (heart & vessels)
F04,Amnestic disorder due to known physiological condition,Mental & behavioural
J842,Lymphoid interstitial pneumonia,Respiratory
E70,Disorders of aromatic amino-acid metabolism,Endocrine & metabolic
E895,Postprocedural testicular hypofunction,Endocrine & metabolic
E80,Disorders of porphyrin and bilirubin metabolism,Endocrine & metabolic
I8242,Acute embolism and thrombosis of iliac vein,Circulatory (heart & vessels)
J30,Vasomotor and allergic rhinitis,Respiratory
F63,Impulse disorders,Mental & behavioural
F132,"Sedative, hypnotic or anxiolytic-related dependence",Mental & behavioural
M051,Rheumatoid lung disease with rheumatoid arthritis,Musculoskeletal
C92A,Acute myeloid leukemia with multilineage dysplasia,Neoplasms (cancer)
I492,Junctional premature depolarization,Circulatory (heart & vessels)
F064,Anxiety disorder due to known physiological condition,Mental & behavioural
F31,Bipolar disorder,Mental & behavioural
F23,Brief psychotic disorder,Mental & behavioural
E7622,Sanfilippo mucopolysaccharidoses,Endocrine & metabolic
J986,Disorders of diaphragm,Respiratory
E702,Disorders of tyrosine metabolism,Endocrine & metabolic
C4472,"Squamous cell carcinoma of skin of lower limb, including hip",Neoplasms (cancer)
J012,Acute ethmoidal sinusitis,Respiratory
E660,Obesity due to excess calories,Endocrine & metabolic
C784,Secondary malignant neoplasm of small intestine,Neoplasms (cancer)
J154,Pneumonia due to other streptococci,Respiratory
J452,Mild intermittent asthma,Respiratory
E1163,Type 2 diabetes mellitus with oral complications,Endocrine & metabolic
F1215,Cannabis abuse with psychotic disorder,Mental & behavioural
I82B1,Acute embolism and thrombosis of subclavian vein,Circulatory (heart & vessels)
C435,Malignant melanoma of trunk,Neoplasms (cancer)
J352,Hypertrophy of adenoids,Respiratory
I502,Systolic (congestive) heart failure,Circulatory (heart & vessels)
M0009,Staphylococcal polyarthritis,Musculoskeletal
E52,Niacin deficiency [pellagra],Endocrine & metabolic
E661,Drug-induced obesity,Endocrine & metabolic
M8608,"Acute hematogenous osteomyelitis, other sites",Musculoskeletal
M7146,"Calcium deposit in bursa, knee",Musculoskeletal
C5081,"Malignant neoplasm of overlapping sites of breast, female",Neoplasms (cancer)
I661,Occlusion and stenosis of anterior cerebral artery,Circulatory (heart & vessels)
J37,Chronic laryngitis and laryngotracheitis,Respiratory
M2541,"Effusion, shoulder",Musculoskeletal
I454,Nonspecific intraventricular block,Circulatory (heart & vessels)
C467,Kaposi's sarcoma of other sites,Neoplasms (cancer)
F513,Sleepwalking [somnambulism],Mental & behavioural
I82A1,Acute embolism and thrombosis of axillary vein,Circulatory (heart & vessels)
M276,Endosseous dental implant failure,Musculoskeletal
C4451,Basal cell carcinoma of skin of trunk,Neoplasms (cancer)
E7112,Disorders of propionate metabolism,Endocrine & metabolic
J40,"Bronchitis, not specified as acute or chronic",Respiratory
F1228,Cannabis dependence with other cannabis-induced disorder,Mental & behavioural
I33,Acute and subacute endocarditis,Circulatory (heart & vessels)
M996,Osseous and subluxation stenosis of intervertebral foramina,Musculoskeletal
C76,Malignant neoplasm of other and ill-defined sites,Neoplasms (cancer)
I503,Diastolic (congestive) heart failure,Circulatory (heart & vessels)
F4024,Situational type phobia,Mental & behavioural
J386,Stenosis of larynx,Respiratory
C10,Malignant neoplasm of oropharynx,Neoplasms (cancer)
C724,Malignant neoplasm of acoustic nerve,Neoplasms (cancer)
F1222,Cannabis dependence with intoxication,Mental & behavioural
I8241,Acute embolism and thrombosis of femoral vein,Circulatory (heart & vessels)
M0624,"Rheumatoid bursitis, hand",Musculoskeletal
F55,Abuse of non-psychoactive substances,Mental & behavioural
M8448,"Pathological fracture, other site",Musculoskeletal
E261,Secondary hyperaldosteronism,Endocrine & metabolic
C7B0,Secondary carcinoid tumors,Neoplasms (cancer)
I251,Atherosclerotic heart disease of native coronary artery,Circulatory (heart & vessels)
I00,Rheumatic fever without heart involvement,Circulatory (heart & vessels)
E783,Hyperchylomicronemia,Endocrine & metabolic
E725,Disorders of glycine metabolism,Endocrine & metabolic
M0762,"Enteropathic arthropathies, elbow",Musculoskeletal
I8222,Embolism and thrombosis of inferior vena cava,Circulatory (heart & vessels)
J962,Acute and chronic respiratory failure,Respiratory
F302,"Manic episode, severe with psychotic symptoms",Mental & behavioural
M1467,"Charcot's joint, ankle and foot",Musculoskeletal
M0629,"Rheumatoid bursitis, multiple sites",Musculoskeletal
J014,Acute pansinusitis,Respiratory
E721,Disorders of sulfur-bearing amino-acid metabolism,Endocrine & metabolic
J90,"Pleural effusion, not elsewhere classified",Respiratory
M6122,"Paralytic calcification and ossification of muscle, upper arm",Musculoskeletal
M6627,"Spontaneous rupture of extensor tendons, ankle and foot",Musculoskeletal
I630,Cerebral infarction due to thrombosis of precerebral arteries,Circulatory (heart & vessels)
I5081,Right heart failure,Circulatory (heart & vessels)
I86,Varicose veins of other sites,Circulatory (heart & vessels)
E512,Wernicke's encephalopathy,Endocrine & metabolic
E781,Pure hyperglyceridemia,Endocrine & metabolic
J02,Acute pharyngitis,Respiratory
E7525,Metachromatic leukodystrophy,Endocrine & metabolic
M2574,"Osteophyte, hand",Musculoskeletal
I710,Dissection of aorta,Circulatory (heart & vessels)
J82,"Pulmonary eosinophilia, not elsewhere classified",Respiratory
J65,Pneumoconiosis associated with tuberculosis,Respiratory
F523,Orgasmic disorder,Mental & behavioural
J15,"Bacterial pneumonia, not elsewhere classified",Respiratory
F063,Mood disorder due to known physiological condition,Mental & behavioural
I6301,Cerebral infarction due to thrombosis of vertebral artery,Circulatory (heart & vessels)
M1A131,"Lead-induced chronic gout, right wrist",Musculoskeletal
C798,Secondary malignant neoplasm of other specified sites,Neoplasms (cancer)
I851,Secondary esophageal varices,Circulatory (heart & vessels)
F1122,Opioid dependence with intoxication,Mental & behavioural
M245,Contracture of joint,Musculoskeletal
F21,Schizotypal disorder,Mental & behavioural
C495,Malignant neoplasm of connective and soft tissue of pelvis,Neoplasms (cancer)
E102,Type 1 diabetes mellitus with kidney complications,Endocrine & metabolic
I41,Myocarditis in diseases classified elsewhere,Circulatory (heart & vessels)
E109,Type 1 diabetes mellitus without complications,Endocrine & metabolic
I8301,Varicose veins of right lower extremity with ulcer,Circulatory (heart & vessels)
F432,Adjustment disorders,Mental & behavioural
E61,Deficiency of other nutrient elements,Endocrine & metabolic
M8904,"Algoneurodystrophy, hand",Musculoskeletal
I801,Phlebitis and thrombophlebitis of femoral vein,Circulatory (heart & vessels)
E740,Glycogen storage disease,Endocrine & metabolic
